epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.075,1.31061,2.26912,1.35499,0.53147,0.55348,0.50691,0.27661,1.56799,1.74777,1.36252,0.000414326,0.000414326,0.000414326
2,44.7386,1.20154,1.48666,1.27669,0.63795,0.57458,0.61129,0.3884,1.20479,1.52484,1.14928,0.000820709,0.000820709,0.000820709
3,66.301,1.17927,1.38154,1.26897,0.5843,0.61048,0.56502,0.35373,1.33676,1.57264,1.23283,0.00121678,0.00121678,0.00121678
4,87.868,1.15099,1.30962,1.24952,0.59435,0.6164,0.58335,0.37705,1.24218,1.52134,1.20362,0.00120359,0.00120359,0.00120359
5,109.432,1.10889,1.20633,1.22609,0.63567,0.69257,0.65694,0.39211,1.40768,1.34644,1.24831,0.00118812,0.00118812,0.00118812
6,131.068,1.0816,1.14736,1.2072,0.62739,0.67958,0.672,0.40354,1.37276,1.3641,1.20827,0.00117266,0.00117266,0.00117266
7,152.592,1.08016,1.11121,1.20345,0.62669,0.73285,0.6896,0.41087,1.37291,1.2365,1.23733,0.00115719,0.00115719,0.00115719
8,173.981,1.05661,1.08137,1.1968,0.63745,0.62523,0.64901,0.43693,1.16925,1.27331,1.18477,0.00114172,0.00114172,0.00114172
9,195.502,1.03802,1.03029,1.18456,0.6411,0.68193,0.67601,0.45128,1.21653,1.16082,1.19098,0.00112625,0.00112625,0.00112625
10,217.017,1.0334,1.04314,1.18723,0.61463,0.70566,0.67195,0.40488,1.34256,1.21113,1.23453,0.00111078,0.00111078,0.00111078
11,238.405,0.99965,0.97886,1.1654,0.70104,0.68876,0.67537,0.46614,1.14643,1.15995,1.14384,0.00109531,0.00109531,0.00109531
12,259.866,0.99085,0.95374,1.16006,0.6383,0.75796,0.67712,0.46007,1.16639,1.14613,1.13687,0.00107984,0.00107984,0.00107984
